image_filename,image_size,year,month,day,hour,min,sec,lon,lat,gSpeed,heading
frame000000_1718605434.971020.png,"(1136, 986)",2024,6,17,6,23,54,5.4422454833984375,43.22768783569336,1.0,0.0
frame000003_1718605435.855062.png,"(1136, 986)",2024,6,17,6,23,55,5.442245006561279,43.22768783569336,48.0,0.0
frame000008_1718605437.158172.png,"(1136, 986)",2024,6,17,6,23,56,5.442241668701172,43.22768783569336,397.0,272.47100830078125
frame000013_1718605438.489078.png,"(1136, 986)",2024,6,17,6,23,57,5.442240238189697,43.22768783569336,419.0,272.5276184082031
frame000015_1718605439.006226.png,"(1136, 986)",2024,6,17,6,23,58,5.442234039306641,43.22768783569336,568.0,268.049560546875
frame000019_1718605440.107399.png,"(1136, 986)",2024,6,17,6,23,59,5.442225933074951,43.22768783569336,698.0,269.6012878417969
frame000023_1718605441.065513.png,"(1136, 986)",2024,6,17,6,24,0,5.442211151123047,43.22768783569336,765.0,270.49139404296875
frame000027_1718605441.981502.png,"(1136, 986)",2024,6,17,6,24,1,5.442208766937256,43.22768783569336,817.0,271.62109375
frame000032_1718605443.279570.png,"(1136, 986)",2024,6,17,6,24,2,5.442198276519775,43.22768783569336,899.0,271.83209228515625
frame000034_1718605443.860258.png,"(1136, 986)",2024,6,17,6,24,3,5.4421868324279785,43.22768783569336,970.0,273.4121398925781
frame000036_1718605444.351294.png,"(1136, 986)",2024,6,17,6,24,4,5.442164421081543,43.22768783569336,981.0,264.92138671875
frame000043_1718605446.040857.png,"(1136, 986)",2024,6,17,6,24,5,5.442152976989746,43.227684020996094,967.0,258.1230773925781
frame000046_1718605446.829149.png,"(1136, 986)",2024,6,17,6,24,7,5.442138671875,43.227684020996094,946.0,265.428955078125
frame000053_1718605448.635066.png,"(1136, 986)",2024,6,17,6,24,7,5.442130088806152,43.227684020996094,946.0,271.6667785644531
frame000056_1718605449.324255.png,"(1136, 986)",2024,6,17,6,24,8,5.442127227783203,43.227684020996094,938.0,275.8428649902344
frame000059_1718605450.141814.png,"(1136, 986)",2024,6,17,6,24,10,5.442104339599609,43.22768783569336,941.0,271.4784545898437
frame000062_1718605451.000093.png,"(1136, 986)",2024,6,17,6,24,10,5.44210147857666,43.227684020996094,942.0,267.8976745605469
